our,theirs,rho,alpha,auc
lr,xgboost_fine_income_te_gpu::oof_prediction,0.9896164387483617,0.6,0.9459438255497166
lr,xgboost_fine_income_te_gpu::oof_prediction,0.9896164387483617,0.7,0.9458002052953092
OURS_BLEND,xgboost_fine_income_te_gpu::oof_prediction,0.9970957902979377,0.5,0.9463344081817503
OURS_BLEND,xgboost_fine_income_te_gpu::oof_prediction,0.9970957902979377,0.6,0.9463530439430545
OURS_BLEND,xgboost_fine_income_te_gpu::oof_prediction,0.9970957902979377,0.7,0.9463598819635709
lgbm_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9968524969285593,0.5,0.94633044443975
lgbm_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9968524969285593,0.6,0.9463440824505328
lgbm_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9968524969285593,0.7,0.9463453232281741
xgb_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9964081903349029,0.5,0.9463329971136172
xgb_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9964081903349029,0.6,0.946347383828464
xgb_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9964081903349029,0.7,0.9463489572039946
cat_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9902571077893633,0.5,0.9462929989725806
cat_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9902571077893633,0.6,0.9462925424932072
cat_ref,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9902571077893633,0.7,0.9462770544682441
lr,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9895087531980755,0.5,0.9460534968080522
lr,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9895087531980755,0.6,0.9459493497267217
lr,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.9895087531980755,0.7,0.9458052033483965
